epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1333.5,2.30444,1.1051,0.82479,0.59752,0.52475,0.55608,0.20109,2.1345,1.25465,0.72608,0.0008912,0.0008912,0.0008912
58,1357.35,2.45949,1.13974,0.82822,0.6058,0.48692,0.50838,0.19499,2.11431,1.22733,0.72071,0.0008714,0.0008714,0.0008714
59,1381.18,2.33864,1.1688,0.8184,0.72981,0.61511,0.62946,0.26056,2.0147,1.03219,0.71765,0.0008516,0.0008516,0.0008516
60,1400.97,2.28407,1.13019,0.84619,0.6991,0.54455,0.63197,0.24763,2.17603,1.18814,0.72621,0.0008318,0.0008318,0.0008318
61,1424.16,2.30861,1.11518,0.8257,0.65407,0.51485,0.56337,0.2188,2.15785,1.15838,0.7225,0.000812,0.000812,0.000812
62,1448.01,2.24695,1.03566,0.82635,0.77257,0.53465,0.62879,0.23285,2.04719,1.05781,0.71994,0.0007922,0.0007922,0.0007922
63,1471.79,2.23925,1.11049,0.82437,0.67382,0.52475,0.62475,0.25457,2.01847,1.07777,0.71569,0.0007724,0.0007724,0.0007724
64,1491.54,2.07344,1.04244,0.81617,0.78495,0.57826,0.63707,0.24536,2.10587,0.99707,0.71836,0.0007526,0.0007526,0.0007526
65,1514.78,2.23217,1.08087,0.82922,0.69968,0.55363,0.614,0.25594,2.05095,0.99815,0.71808,0.0007328,0.0007328,0.0007328
66,1538.74,2.2414,1.05471,0.83307,0.69267,0.51327,0.58621,0.19894,2.25561,1.11266,0.71835,0.000713,0.000713,0.000713
67,1562.53,2.18354,1.04388,0.83848,0.68405,0.48515,0.54797,0.21509,2.2327,1.12242,0.72122,0.0006932,0.0006932,0.0006932
68,1582.29,2.17185,1.04442,0.82023,0.71152,0.50495,0.60365,0.21962,2.0683,1.0308,0.71513,0.0006734,0.0006734,0.0006734
69,1605.46,2.21197,0.97849,0.8234,0.71566,0.47349,0.60521,0.2482,2.07369,1.24153,0.72105,0.0006536,0.0006536,0.0006536
70,1629.54,2.17466,1.07466,0.83447,0.70017,0.48555,0.59551,0.25192,2.06368,1.0518,0.72007,0.0006338,0.0006338,0.0006338
71,1653.71,2.1856,1.00368,0.81953,0.71883,0.58416,0.62793,0.25779,1.88168,0.93797,0.71012,0.000614,0.000614,0.000614
72,1673.86,2.24015,1.02793,0.82549,0.75029,0.5355,0.60331,0.25993,2.02969,0.97562,0.71581,0.0005942,0.0005942,0.0005942
73,1697.48,2.21821,1.07247,0.81454,0.74211,0.60396,0.65003,0.2607,2.02557,0.93633,0.71332,0.0005744,0.0005744,0.0005744
74,1721.64,2.13134,0.96969,0.8256,0.73256,0.54455,0.61305,0.28293,2.04041,0.93373,0.7165,0.0005546,0.0005546,0.0005546
75,1736.79,2.13874,1.03316,0.81057,0.69209,0.55637,0.59122,0.25553,1.97224,0.92778,0.71248,0.0005348,0.0005348,0.0005348
76,1744.19,2.15889,0.99857,0.83741,0.75545,0.53465,0.59854,0.26075,1.75073,0.88368,0.70791,0.000515,0.000515,0.000515
77,1751.44,2.14799,0.98457,0.81879,0.69159,0.44554,0.54031,0.2195,1.86025,0.96739,0.70777,0.0004952,0.0004952,0.0004952
78,1758.79,2.18802,1.04964,0.82667,0.72402,0.42574,0.55536,0.25917,1.84531,0.9463,0.71015,0.0004754,0.0004754,0.0004754
79,1766.17,2.06848,1.00247,0.81498,0.68818,0.54455,0.62542,0.27875,1.95088,0.84179,0.71327,0.0004556,0.0004556,0.0004556
80,1773.54,2.05531,0.99727,0.82631,0.68158,0.58416,0.6459,0.27365,1.93938,0.83806,0.715,0.0004358,0.0004358,0.0004358
81,1780.82,2.13941,1.06361,0.81036,0.70244,0.53761,0.60098,0.26198,1.94807,0.84842,0.7118,0.000416,0.000416,0.000416
82,1788.2,2.05767,0.89984,0.81185,0.76786,0.57426,0.63584,0.28952,1.84257,0.78711,0.70663,0.0003962,0.0003962,0.0003962
83,1795.71,1.92989,0.9008,0.82724,0.78379,0.53465,0.64276,0.29606,1.82265,0.84157,0.70594,0.0003764,0.0003764,0.0003764
84,1803.11,2.06826,0.95837,0.81155,0.78281,0.56436,0.66747,0.27313,1.89323,0.79643,0.70941,0.0003566,0.0003566,0.0003566
85,1810.31,2.03388,0.89497,0.8227,0.74611,0.57426,0.66487,0.29109,1.79174,0.80343,0.70912,0.0003368,0.0003368,0.0003368
86,1817.74,2.09811,0.96673,0.81525,0.72995,0.50851,0.65053,0.27301,1.91354,0.85888,0.71032,0.000317,0.000317,0.000317
87,1825.17,1.94446,0.83627,0.83039,0.74403,0.51807,0.64744,0.30398,1.76369,0.83421,0.70865,0.0002972,0.0002972,0.0002972
88,1832.48,2.02518,0.91088,0.81789,0.71811,0.49505,0.62661,0.27596,1.85163,0.88233,0.71018,0.0002774,0.0002774,0.0002774
89,1839.89,2.01536,0.89805,0.79954,0.73399,0.51485,0.62944,0.27631,1.66978,0.83795,0.7057,0.0002576,0.0002576,0.0002576
90,1847.32,1.91733,0.83348,0.80045,0.74674,0.5255,0.66566,0.29171,1.71116,0.83108,0.70326,0.0002378,0.0002378,0.0002378
91,1902.79,1.86686,0.91247,0.8344,0.72218,0.56436,0.63193,0.28199,1.82038,0.8912,0.70495,0.000218,0.000218,0.000218
92,1910.04,1.86586,0.89154,0.82266,0.72093,0.53715,0.64658,0.26095,1.92359,0.94385,0.70598,0.0001982,0.0001982,0.0001982
93,1917.23,1.86341,0.81099,0.82443,0.73228,0.54166,0.65646,0.25979,1.90772,0.88929,0.70695,0.0001784,0.0001784,0.0001784
94,1924.47,1.85611,0.81553,0.82291,0.74191,0.53465,0.65707,0.27017,1.8787,0.85378,0.70446,0.0001586,0.0001586,0.0001586
95,1931.86,1.91956,0.85208,0.83191,0.7216,0.56436,0.65003,0.2798,1.80497,0.82303,0.70214,0.0001388,0.0001388,0.0001388
96,1939.08,1.84544,0.86711,0.82013,0.74063,0.54455,0.63896,0.26367,1.8447,0.82808,0.70248,0.000119,0.000119,0.000119
97,1946.21,1.82766,0.87099,0.80828,0.76177,0.53465,0.64342,0.2627,1.87647,0.85055,0.7035,9.92e-05,9.92e-05,9.92e-05
98,1953.58,1.87536,0.84529,0.81002,0.7156,0.5481,0.64622,0.27974,1.86384,0.82773,0.70288,7.94e-05,7.94e-05,7.94e-05
99,1960.84,1.81125,0.83701,0.80849,0.72747,0.555,0.6529,0.29323,1.80096,0.81028,0.70218,5.96e-05,5.96e-05,5.96e-05
100,1968.08,1.78824,0.82511,0.82646,0.7443,0.54455,0.64414,0.27662,1.79057,0.81839,0.70071,3.98e-05,3.98e-05,3.98e-05
